Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
1210482042256731,0.000474,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
9301068613479878,0.000355,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
1600974000702712,4.784077,138,9889,80025,651.550725,0.387156,131.934821,2.953867,0.550725,7
1335800462181134,0.000499,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
5614805011550253,0.000498,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
3437411412151884,0.000434,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
8342253008825958,0.000471,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
4583175501943428,0.000476,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
1375431687346107,0.000383,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
1474963360234826,0.000396,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
9423789266571959,0.000301,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
3124629909995920,0.000440,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
3965993253852823,0.000364,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
2931546567909442,0.000354,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
1159050226567665,0.000446,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
6830111704889736,0.000468,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
3854693103255593,0.000489,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
2420732556080172,0.001074,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
8300136917687542,0.000473,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
4860026948537162,4.800660,111,83313,6227,806.666667,0.432369,104.953200,1.231206,0.612613,7
1295194994440742,0.000410,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
3655587184746701,0.000407,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
3631722224854521,0.000382,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
8436206717997124,0.000355,2,77,205,141.000000,0.000000,0.000000,0.000000,0.500000,7
2159325672835137,0.000344,2,77,127,102.000000,0.000000,0.000000,0.000000,0.500000,7
986029674798662,0.000307,2,87,230,158.500000,0.000000,0.000000,0.000000,0.500000,7
