SIM,Hid,Drp,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,128_128_128_64_32_16,0.3,0.3895966029723992,0.3834242988340313,0.5070554051141437,0.5054241065699834,0.5288461538461539,0.5260416666666666,0.6614212564006494,0.6368159203980099,0.5074257425742574,0.5045083356445101,0.6574525464163468,0.6311635944700461
1,32_32_16,0.3,0.37115180467091297,0.36110539089840543,0.4932762100098107,0.49532544514833765,0.5216346153846154,0.5178202193526592,0.6629770869017225,0.6334550651000317,0.4975247524752475,0.49279816939299304,0.6645583625299649,0.6285138248847927
2,32_32_16,0.3,0.37778662420382164,0.3714780300858015,0.4890142815636738,0.4915583757057701,0.5480769230769231,0.5465677179962894,0.66951871657754,0.6510003175611305,0.5346534653465347,0.5332694245753755,0.6725100636281003,0.653052995391705
3,32_16,0.3,0.3826963906581741,0.376554245327981,0.49600661873898155,0.4969211028397914,0.5360576923076923,0.5334669804468463,0.6688948168367506,0.6440933629723722,0.5173267326732673,0.5148267898383372,0.6662408448305228,0.6405529953917051
4,128_64,0.3,0.3815021231422505,0.37713524882062327,0.4857003967378245,0.4883751168929414,0.5360576923076923,0.5343760692682871,0.6560828377611093,0.6382184820577961,0.5198019801980198,0.5183737679128875,0.6528372938579405,0.6355990783410138
5,64_32_32,0.3,0.37327494692144375,0.3641453506578645,0.4933516421978104,0.49526688966477445,0.5192307692307693,0.5151854182691187,0.6619791666666667,0.6316820154546416,0.5024752475247525,0.49871289145693276,0.6607990012484395,0.6298387096774194
6,128_64_32_16,0.3,0.3893312101910828,0.38638710240406327,0.4893620056708479,0.49095782900519713,0.5745192307692307,0.574221528319889,0.6767252143511197,0.6685455700222293,0.5544554455445545,0.5543571516117172,0.662913357828612,0.658352534562212
7,64_32,0.3,0.37937898089171973,0.370459766622733,0.502938533475165,0.5020989441491153,0.5120192307692307,0.5072326768781912,0.6589600186424315,0.6263628665184715,0.4975247524752475,0.49229578729068,0.6704012310925946,0.6307603686635945
8,256_128_64_32_16,0.3,0.3966295116772824,0.3928189844696597,0.5050195035625272,0.5041396650443614,0.5336538461538461,0.5320964749536178,0.6509803921568628,0.634487138774214,0.5099009900990099,0.5086969339622642,0.6354487179487179,0.6217165898617512
9,256_128_64,0.3,0.3990180467091295,0.3940992456007877,0.5150232890090902,0.5119587739495043,0.5264423076923077,0.5234434513598539,0.6603960396039604,0.6350428707526199,0.5074257425742574,0.5045083356445101,0.6574525464163468,0.6311635944700461
10,128_128_64_32,0.3,0.3796443736730361,0.3694329401432194,0.50898244413825,0.5061942565293309,0.5096153846153846,0.5045653036919412,0.6579441760601181,0.6245898168730813,0.5074257425742574,0.503700822885222,0.6680042803638309,0.6356566820276498
11,64_64_32,0.3,0.39171974522292996,0.38602145377648533,0.5079834866397457,0.5062196305722083,0.5432692307692307,0.5411906752112938,0.6718198417528911,0.6494125119085423,0.5396039603960396,0.5379734382685686,0.6840131578947368,0.6611175115207373
12,512_256_128_64_32_16,0.3,0.3953025477707006,0.38923698890369884,0.5155472443595202,0.5119697375294054,0.5288461538461539,0.5256777196044211,0.6659493670886076,0.6387742140362019,0.5272277227722773,0.5254103855686969,0.6698294419605895,0.6476958525345622
13,512_256_128,0.3,0.3869426751592357,0.3807102698410666,0.5031463040862427,0.5024165142078444,0.5288461538461539,0.5260416666666666,0.6614212564006494,0.6368159203980099,0.5099009900990099,0.5071835185687178,0.65840768702814,0.6329493087557604
14,256_256_128_64,0.3,0.3830944798301486,0.3745857696869016,0.5074616107370186,0.5053822871572542,0.5168269230769231,0.5125426297840091,0.6609772093785866,0.6299089658092516,0.5148514851485149,0.5113908428976922,0.6760084925690022,0.6432603686635945
15,128_64_32,0.3,0.37937898089171973,0.3719245176906818,0.4965879001854424,0.4974625126548367,0.5192307692307693,0.5156031672100605,0.6572968810165576,0.6297237218164498,0.5074257425742574,0.5045083356445101,0.6574525464163468,0.6311635944700461
16,512_256_128_64,0.3,0.3734076433121019,0.36258423616455504,0.5003569412715314,0.5002428183775846,0.5120192307692307,0.5072326768781912,0.6589600186424315,0.6263628665184715,0.5074257425742574,0.5032592510210261,0.673610355705428,0.6379032258064516
17,256_128_64_32,0.3,0.3971602972399151,0.39198900282340404,0.5135952684035023,0.5107441421883289,0.5384615384615384,0.5363611033714126,0.6654899573950092,0.6439081189795702,0.5247524752475248,0.5227759320782577,0.6689342403628118,0.6459101382488479
18,64_32_16,0.3,0.3807059447983015,0.3715216611457456,0.5063742291488154,0.5045178254935293,0.5240384615384616,0.5208376963350786,0.659367088607595,0.6332698211072298,0.504950495049505,0.5018249975337871,0.6564938684503903,0.6293778801843318
19,128_64_32_16_8,0.3,0.6301751592356688,0.48602105830390485,0.4994634659208354,0.499650743534208,0.6057692307692307,0.4487929418608409,0.45786516853932585,0.47618291521117817,0.6212871287128713,0.45956721311475407,0.46914762957504297,0.48191244239631337
20,256_128_64_32_16_8,0.3,0.3817675159235669,0.37304263006135163,0.5061714631045908,0.5044275420741914,0.53125,0.5282815889095,0.666933836240767,0.640547263681592,0.5173267326732673,0.5144679670888417,0.6714206686719911,0.6427995391705069
