SIM,n_estimators,min_samples_split,max_depth,min_samples_leaf,max_samples,max_features,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,5,0.05,3,0.05,0.3,sqrt,0.7038770053475936,0.653635652853792,0.7147742818057455,0.6021319504465572,0.6282608695652174,0.5535248041775457,0.4491525423728814,0.7210884353741497,0.6331877729257642,0.5333333333333333,0.4343891402714932,0.6906474820143885
1,5,0.05,3,0.05,0.3,log2,0.7331550802139037,0.6987624509507999,0.7337559429477021,0.6669547680783636,0.6195652173913043,0.5478036175710594,0.44166666666666665,0.7210884353741497,0.6179039301310044,0.5231607629427792,0.42105263157894735,0.6906474820143885
2,5,0.05,3,0.05,0.4,sqrt,0.6802139037433155,0.6395418927064497,0.6704581358609795,0.6113511956208585,0.6021739130434782,0.543640897755611,0.42913385826771655,0.7414965986394558,0.6004366812227074,0.5145888594164456,0.40756302521008403,0.697841726618705
3,5,0.05,3,0.05,0.4,log2,0.7616310160427807,0.7281597804543376,0.7733160621761658,0.6879861711322386,0.6326086956521739,0.5587467362924282,0.4533898305084746,0.7278911564625851,0.631004366812227,0.5344352617079889,0.4330357142857143,0.697841726618705
4,5,0.05,3,0.05,0.5,sqrt,0.7232620320855615,0.6628664495114006,0.762457849381791,0.5862863728032267,0.6391304347826087,0.5585106382978723,0.4585152838427948,0.7142857142857143,0.648471615720524,0.5439093484419264,0.4485981308411215,0.6906474820143885
5,5,0.05,3,0.05,0.5,log2,0.7411764705882353,0.6931854199683043,0.7703416696019725,0.6300777873811582,0.6413043478260869,0.5646437994722955,0.46120689655172414,0.7278911564625851,0.6375545851528385,0.5388888888888889,0.43891402714932126,0.697841726618705
6,5,0.05,3,0.05,0.6,sqrt,0.7286096256684492,0.6918639951426837,0.7311517484760988,0.6565831172572746,0.6217391304347826,0.5515463917525774,0.44398340248962653,0.7278911564625851,0.6441048034934498,0.5582655826558266,0.44782608695652176,0.7410071942446043
7,5,0.05,3,0.05,0.6,log2,0.7164438502673797,0.6825325550067355,0.7102803738317757,0.6568712186689715,0.6130434782608696,0.5505050505050505,0.43775100401606426,0.7414965986394558,0.6266375545851528,0.5289256198347108,0.42857142857142855,0.6906474820143885
8,5,0.05,3,0.05,0.7,sqrt,0.7481283422459893,0.7124542124542125,0.7575462512171373,0.672428694900605,0.6304347826086957,0.5549738219895288,0.451063829787234,0.7210884353741497,0.648471615720524,0.5636856368563685,0.45217391304347826,0.7482014388489209
9,5,0.05,3,0.05,0.7,log2,0.7473262032085561,0.7025495750708215,0.7741935483870968,0.6430423509075195,0.6478260869565218,0.5691489361702128,0.4672489082969432,0.7278911564625851,0.665938864628821,0.5738161559888579,0.4681818181818182,0.7410071942446043
10,5,0.05,3,0.1,0.3,sqrt,0.703475935828877,0.6522420821574161,0.7155142758857929,0.599250936329588,0.6108695652173913,0.5421994884910486,0.4344262295081967,0.7210884353741497,0.631004366812227,0.5344352617079889,0.4330357142857143,0.697841726618705
11,5,0.05,3,0.1,0.3,log2,0.6871657754010695,0.6460980036297641,0.6800382043935053,0.6153846153846154,0.5934782608695652,0.5472154963680388,0.424812030075188,0.7687074829931972,0.6004366812227074,0.5246753246753246,0.4105691056910569,0.7266187050359713
12,5,0.05,3,0.1,0.4,sqrt,0.6922459893048128,0.6457371498922746,0.6930954740667328,0.6044367617401325,0.6108695652173913,0.5468354430379747,0.43548387096774194,0.7346938775510204,0.6157205240174672,0.5243243243243243,0.4199134199134199,0.697841726618705
13,5,0.05,3,0.1,0.4,log2,0.643048128342246,0.6312154696132597,0.6062616078535421,0.6583117257274561,0.5369565217391304,0.5234899328859061,0.39,0.7959183673469388,0.5458515283842795,0.5094339622641509,0.37894736842105264,0.7769784172661871
14,5,0.05,3,0.1,0.5,sqrt,0.7124331550802139,0.6556747238674564,0.7377521613832853,0.5900316911552866,0.6217391304347826,0.546875,0.4430379746835443,0.7142857142857143,0.6353711790393013,0.5348189415041783,0.43636363636363634,0.6906474820143885
15,5,0.05,3,0.1,0.5,log2,0.7665775401069519,0.7426297169811321,0.7603380621792937,0.7257274560645347,0.6478260869565218,0.6009852216748769,0.47104247104247104,0.8299319727891157,0.631004366812227,0.5655526992287918,0.44,0.7913669064748201
16,5,0.05,3,0.1,0.6,sqrt,0.7094919786096257,0.6539257843605669,0.7311253561253561,0.5914721982137713,0.6304347826086957,0.5549738219895288,0.451063829787234,0.7210884353741497,0.6331877729257642,0.5333333333333333,0.4343891402714932,0.6906474820143885
17,5,0.05,3,0.1,0.6,log2,0.7118983957219251,0.6573382095722691,0.7334989354151881,0.5955056179775281,0.6282608695652174,0.5511811023622047,0.44871794871794873,0.7142857142857143,0.6353711790393013,0.5348189415041783,0.43636363636363634,0.6906474820143885
18,5,0.05,3,0.1,0.7,sqrt,0.7385026737967915,0.7077106993424985,0.7351754113629307,0.6822241428983002,0.6304347826086957,0.5526315789473685,0.45064377682403434,0.7142857142857143,0.6703056768558951,0.5973333333333334,0.4745762711864407,0.8057553956834532
19,5,0.05,3,0.1,0.7,log2,0.7066844919786096,0.6600557793616362,0.7140462621521958,0.6136560069144339,0.6239130434782608,0.5529715762273901,0.44583333333333336,0.7278911564625851,0.6244541484716157,0.5274725274725275,0.4266666666666667,0.6906474820143885
20,5,0.05,4,0.05,0.3,sqrt,0.7081550802139037,0.6629612474911224,0.7142381902860945,0.6185537309132815,0.6304347826086957,0.5641025641025641,0.45267489711934156,0.7482993197278912,0.6244541484716157,0.5300546448087432,0.42731277533039647,0.697841726618705
21,5,0.05,4,0.05,0.3,log2,0.6959893048128343,0.6540918770915729,0.6928778601353529,0.6194180351483722,0.6086956521739131,0.5454545454545454,0.43373493975903615,0.7346938775510204,0.611353711790393,0.521505376344086,0.41630901287553645,0.697841726618705
