SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,no_pca,rbf,20.0,scale,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
1,no_pca,rbf,20.0,auto,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
2,no_pca,rbf,20.0,0.001,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
3,no_pca,rbf,20.0,0.01,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
4,no_pca,rbf,20.0,0.1,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
5,no_pca,rbf,20.0,1,0.8180552793795983,0.8222955913769664,0.8192724458204335,0.8253411306042885,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.6637931034482759,0.5125,0.4939759036144578,0.5324675324675324
6,no_pca,rbf,10.0,scale,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
7,no_pca,rbf,10.0,auto,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
8,no_pca,rbf,10.0,0.001,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
9,no_pca,rbf,10.0,0.01,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
10,no_pca,rbf,10.0,0.1,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
11,no_pca,rbf,10.0,1,0.8101014118114933,0.8142384750048629,0.8125,0.8159844054580897,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.6724137931034483,0.525,0.5060240963855421,0.5454545454545454
12,no_pca,rbf,1.0,scale,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
13,no_pca,rbf,1.0,auto,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
14,no_pca,rbf,1.0,0.001,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
15,no_pca,rbf,1.0,0.01,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
16,no_pca,rbf,1.0,0.1,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
17,no_pca,rbf,1.0,1,0.7908132829588387,0.8,0.7807050092764378,0.8202729044834308,0.6580310880829016,0.34,0.265625,0.4722222222222222,0.7155172413793104,0.6597938144329897,0.5470085470085471,0.8311688311688312
18,no_pca,rbf,0.1,scale,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
19,no_pca,rbf,0.1,auto,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
